,Ad name,Ad delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)",Link clicks,CPC (cost per link click) (USD),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all) (USD),Landing page views,Content views,Website content views,Checkouts Initiated,Website checkouts initiated,Adds of payment info,Website adds of payment info,Purchase ROAS (return on ad spend),Website purchase ROAS (return on ad spend),Purchases,Website purchases,Date created,Date last edited,Objective,Bid,Bid type,Reporting starts,Reporting ends,Starts
112207,AD09_Video_T4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,472,1.076271,19.16,20,Daily,19.16,מתמשך,508,37.716535,11.0,1.741818,2.165354,14,2.755906,1.368571,10.0,8.0,8.0,1.0,1.0,1.0,1.0,5.167015,5.167015,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-13
112239,AD09_Video_T4,inactive,7-day click,2.0,actions:offsite_conversion.fb_pixel_purchase,2121,1.124941,22.955,10,Daily,45.91,מתמשך,2386,19.241408,52.0,0.882885,2.17938,74,3.101425,0.620405,24.0,23.0,23.0,5.0,5.0,3.0,3.0,3.68765,3.68765,2.0,2.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-13
112269,AD09_Video_T4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,1355,1.108487,60.17,20,Daily,60.17,מתמשך,1502,40.05992,49.0,1.227959,3.262317,63,4.194407,0.955079,38.0,17.0,17.0,1.0,1.0,1.0,1.0,0.914077,0.914077,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-13
112333,New Traffic Ad,inactive,7-day click or 1-day view,1.0,actions:link_click,30,1.033333,0.47,35,Lifetime,0.47,2022-01-24,31,15.16129,1.0,0.47,3.225806,1,3.225806,0.47,1.0,,,,,,,,,,,2022-01-17,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-17
112362,AD09_Video_T4,inactive,7-day click,2.0,actions:offsite_conversion.fb_pixel_purchase,193,1.46114,10.855,20,Daily,21.71,מתמשך,282,76.985816,18.0,1.206111,6.382979,28,9.929078,0.775357,18.0,35.0,35.0,1.0,1.0,1.0,1.0,16.766467,16.766467,2.0,2.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-13
112391,AD04_IMG_T2_Yellow,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,203,1.64532,13.72,20,Daily,13.72,מתמשך,334,41.077844,10.0,1.372,2.994012,12,3.592814,1.143333,9.0,1.0,1.0,1.0,1.0,1.0,1.0,9.25656,9.25656,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-13
112453,AD04_IMG_T2_Yellow,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,2364,1.327411,26.22,20,Daily,26.22,מתמשך,3138,8.355641,21.0,1.248571,0.669216,24,0.764818,1.0925,20.0,24.0,24.0,1.0,1.0,1.0,1.0,2.097635,2.097635,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-13
112482,AD04_IMG_T2_Yellow,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,3277,1.390601,54.33,20,Daily,54.33,מתמשך,4557,11.922317,45.0,1.207333,0.987492,59,1.294711,0.920847,29.0,23.0,23.0,1.0,1.0,1.0,1.0,5.687465,5.687465,1.0,1.0,2022-01-05,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-05
112487,AD01,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,331,2.404834,29.63,Using campaign budget,0,29.63,מתמשך,796,37.223618,24.0,1.234583,3.015075,34,4.271357,0.871471,13.0,32.0,32.0,2.0,2.0,1.0,1.0,1.856227,1.856227,1.0,1.0,2022-01-13,2024-10-06,Catalog Sales,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-13
112515,AD07_Video_T4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,1417,1.157375,84.19,20,Daily,84.19,מתמשך,1640,51.335366,72.0,1.169306,4.390244,81,4.939024,1.039383,65.0,39.0,39.0,1.0,1.0,1.0,1.0,1.306568,1.306568,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-13
